id,type,topic,subtopic,difficulty,stem_or_prompt,optionA,optionB,optionC,optionD,correctIndex,marks,explanation,markingGuideline
MCQ-001,mcq,NCC_Fire,TypeOfConstruction,medium,"You are constructing a four storey Class 6 shopping centre with a rise in storeys of 4. According to NCC Volume One, what is the minimum Type of construction required?",Type A,Type B,Type C,"Any type, subject to performance solution",0,1,"For a Class 6 building of four storeys, NCC Volume One Table C2D2 requires Type A construction as the building exceeds three storeys.",
MCQ-002,mcq,Act_Permits,RBSResponsibilities,easy,"Under the Building Act 1993, who is responsible for issuing a building permit for commercial building work?",The Victorian Building Authority,A relevant building surveyor,The registered commercial builder,The municipal council,1,1,A relevant building surveyor (either private or municipal) is responsible for issuing building permits under the Building Act 1993.,
MCQ-003,mcq,Regs_Inspections,MandatoryNotifications,medium,You are the Commercial Builder on a Class 5 office building. When must you notify the relevant building surveyor about reaching a mandatory notification stage?,Within 24 hours after completing that stage,Before commencing work at that stage,"At the stage, ready for inspection",Within 48 hours of the RBS requesting inspection,2,1,"Under Building Regulations 2018, builders must notify the RBS when work has reached a mandatory notification stage and is ready for inspection, not before or after.",
MCQ-004,mcq,NCC_Egress,TravelDistance,hard,"In a three storey Class 5 office building, what is the maximum travel distance from any point on a floor to an exit, or to a point from which travel in different directions to two exits is available?",6 metres to a single exit,"20 metres to a choice point, then up to 60 metres to one exit","20 metres to a choice point, then up to 40 metres to one exit",30 metres to a single exit if at ground floor level,2,1,"For Class 5 buildings, NCC D2D5 requires no point to be more than 20m from an exit or choice point, and if to a choice point, then maximum 40m to one of those exits.",
MCQ-005,mcq,Business_FitProper,RegistrationScope,medium,A Commercial Builder (Medium Rise) registration in Victoria permits construction of commercial buildings up to what effective height?,15 metres,20 metres,25 metres,30 metres,2,1,Commercial Builder (Medium Rise) registration permits construction of commercial buildings up to 25 metres in height in Victoria.,
MCQ-006,mcq,Structure_Slabs,Excavation,medium,"As a Commercial Builder (Medium Rise), what is the maximum depth of bulk excavations you are permitted to undertake under your registration?",No depth limitation applies,3 metres,5 metres,6 metres,1,1,"Commercial Builder (Medium Rise) registration limits bulk excavations to 3 metres in depth, including vertical cuts and site batters.",
MCQ-007,mcq,NCC_Fire,FireCompartments,hard,You are designing a Class 6 retail building of Type B construction. What is the maximum floor area permitted for a single fire compartment according to NCC Volume One?,2000 square metres,3000 square metres,4000 square metres,5000 square metres,1,1,"For a Class 6 building of Type B construction, NCC Table C2D7 permits a maximum fire compartment size of 3000 square metres.",
MCQ-008,mcq,Regs_ProtectionWork,ProtectionWorkDetermination,hard,"Under Building Regulations 2018, who has the authority to determine whether protection work is required for proposed building work?",The building owner,The registered commercial builder,The relevant building surveyor,The municipal building surveyor only,2,1,"Under Regulation 111 of the Building Regulations 2018, the relevant building surveyor determines whether protection work is required.",
MCQ-009,mcq,Act_Enforcement,BuildingOrders,medium,"Under the Building Act 1993, what is the primary purpose of a building order?",To grant a building permit variation,To require the rectification of non-compliant building work,To approve a performance solution,To register essential safety measures,1,1,Building orders under the Building Act 1993 are enforcement tools used to require rectification of non-compliant building work.,
MCQ-010,mcq,NCC_Fire,FRL,medium,An FRL rating of 120/120/120 indicates fire resistance requirements for which three performance criteria in order?,"Structural adequacy, integrity, insulation","Insulation, integrity, structural adequacy","Integrity, insulation, structural adequacy","Structural adequacy, insulation, integrity",0,1,"FRL ratings are expressed as structural adequacy / integrity / insulation, all measured in minutes.",
MCQ-011,mcq,Regs_Permits,PermitDocumentation,easy,"Under Building Regulations 2018, a building permit must specify which of the following?",The tender price for the works,The mandatory notification stages,The names of all subcontractors,The construction insurance policy number,1,1,Regulation 171 requires that building permits must specify the mandatory notification stages applicable to the work.,
MCQ-012,mcq,NCC_Egress,FireIsolatedStairs,medium,"According to NCC Volume One, when is a stairway serving as a required exit in a Class 5 building required to be fire-isolated?",In all cases regardless of building height,When it connects more than two storeys,Only when the building exceeds four storeys,"When it connects more than one storey, with limited exceptions",3,1,"NCC D2D4 requires stairways in Class 5 buildings to be fire-isolated when connecting more than one storey, with specific exceptions outlined in the provision.",
MCQ-013,mcq,Safety_HRW,SWMS,medium,For which of the following high-risk construction work activities is a Safe Work Method Statement (SWMS) legally required?,Installing suspended ceiling tiles below 2 metres,Concreting ground floor slabs,Work on a structure at height exceeding 2 metres,Installing electrical conduits at ground level,2,1,"Under WHS regulations, SWMS are required for high-risk construction work including work at heights exceeding 2 metres.",
MCQ-014,mcq,Act_Permits,OwnerBuilder,medium,"Under the Building Act 1993, what is the maximum value threshold for domestic building work that an owner-builder may undertake with a Certificate of Consent?","$12,000","$16,000",There is no specific value limit,"$50,000",2,1,"While owner-builder certificates have various restrictions, there is no specific dollar value limit for domestic building work under the Building Act 1993, though other eligibility requirements apply.",
MCQ-015,mcq,NCC_Health,NaturalLight,medium,"According to NCC Volume One, which building class has specific requirements for natural light to habitable rooms?",Class 5 office buildings,Class 6 shops,Class 3 boarding houses,Class 7 warehouses,2,1,Class 3 buildings have specific NCC requirements for natural light to habitable rooms as they are residential accommodation buildings.,
MCQ-016,mcq,Structure_Steel,SteelFrameConnections,medium,"During construction of a steel-framed Class 6 building, you notice bolt holes in a structural steel connection have been enlarged beyond the specified tolerance. What is the most appropriate immediate action?",Proceed with larger diameter bolts,Stop work and consult the structural engineer,Fill the oversized holes with weld metal,Use additional washers to compensate,1,1,Any deviation from structural steel connection specifications requires consultation with the structural engineer as it may affect structural adequacy.,
MCQ-017,mcq,Regs_Inspections,LightweightConstruction,hard,Regulation 172 of Building Regulations 2018 requires additional mandatory inspections for which specific building elements in Class 2 and 3 buildings?,All external wall cladding,Lightweight construction fire-resisting elements in each storey,All plumbing penetrations through floors,Window and door installation,1,1,"Regulation 172 specifically requires mandatory inspections of lightweight construction elements required to resist fire spread, including in stair shafts, lift shafts, and service shafts.",
MCQ-018,mcq,NCC_Fire,Classifications,easy,"A three-storey building containing offices on levels 1 and 2, and shops at ground floor level, is classified under NCC as:",Wholly Class 5,Wholly Class 6,A multi-classified building containing Class 5 and Class 6 parts,A Class 9b building,2,1,"The building contains both Class 5 (office) and Class 6 (shop) uses, making it a multi-classified building.",
MCQ-019,mcq,Act_Enforcement,Offences,medium,"Under the Building Act 1993, carrying out building work requiring registration without appropriate registration is:",A civil matter only between parties,An administrative breach requiring correction,An offence that may result in prosecution,Acceptable if supervised by a registered practitioner,2,1,"Section 169D of the Building Act 1993 creates offences for unregistered building work, which may result in prosecution and penalties.",
MCQ-020,mcq,Regs_ESM,MaintenanceRequirements,medium,"Under Building Regulations 2018, who is responsible for ensuring essential safety measures are maintained in accordance with the occupancy permit?",The original builder,The building owner,The municipal building surveyor,The building occupier or tenant,1,1,Building Regulations 2018 place the responsibility for maintenance of essential safety measures on the building owner.,
MCQ-021,mcq,NCC_Egress,ExitWidth,hard,"You are designing egress for a Class 6 shopping center with an occupancy of 400 people on one level. What minimum aggregate exit width is required, assuming standard conditions?",2000 millimetres,3000 millimetres,4000 millimetres,5000 millimetres,2,1,"NCC requires approximately 10mm of exit width per person for Class 6 buildings. For 400 people, this equals 4000mm minimum aggregate width.",
MCQ-022,mcq,Structure_Slabs,ConcreteInspection,medium,At what stage must the relevant building surveyor be notified for inspection before pouring an in-situ reinforced concrete slab?,After reinforcement is delivered to site,When reinforcement is fixed and formwork is complete,Within 24 hours after pouring,When concrete curing is complete,1,1,"Mandatory notification must occur when work is ready for inspection - i.e., when reinforcement is fixed, formwork complete, and before pouring.",
MCQ-023,mcq,Safety_HRW,CraneOperations,medium,"On a commercial construction site, what is required before a tower crane can be erected and operated?",Only the crane operator's high risk work license,A construction permit from the local council,"Engineering certification, lift plan, and operators must hold appropriate high risk work licenses",Approval from WorkSafe Victoria only,2,1,"Tower crane operations require engineering certification for the crane design and installation, a detailed lift plan, and operators must hold appropriate high risk work licenses. WorkSafe notification may also be required.",
MCQ-024,mcq,Business_FitProper,Scope,hard,A Commercial Builder (Medium Rise) is asked to undertake fit-out works on the 5th floor of an 18-storey Class 5 building. Can they lawfully perform this work under their registration?,"Yes, as the fit-out is non-structural work","Yes, if the fit-out value is under a threshold amount","No, the overall building height exceeds 25 metres","Yes, if supervised by an unlimited commercial builder",2,1,"Commercial Builder (Medium Rise) registration is limited by overall building height. Even for fit-out work, if the building exceeds 25m in height, it is outside the scope of medium-rise registration.",
MCQ-025,mcq,NCC_Fire,RiseInStoreys,medium,"A building has a basement carpark 1.5 metres below natural ground level, ground floor retail, and two office levels above. What is the rise in storeys for NCC fire resistance purposes?",3 storeys (basement is excluded),3 storeys (only if basement is sprinklered),4 storeys (basement is included),2 storeys (only above-ground storeys count),2,1,"NCC includes a basement storey in rise in storeys calculation when more than 1 metre of that storey is above natural ground level. Here, with 1.5m above ground, the basement counts, giving rise in storeys of 4.",
MCQ-026,mcq,Regs_Permits,PermitLapse,medium,"Under Building Regulations 2018, when does a building permit generally lapse if building work has not commenced?",6 months from the date of issue,12 months from the date of issue,24 months from the date of issue,Only when the relevant building surveyor cancels it,1,1,"Building permits generally lapse 12 months from the date of issue if building work has not commenced, though extensions may be granted.",
